reference_id,packet_path,original_filename_or_source,credit_and_status,intended_role,direct_image_url
R1,assets/references/supplied/R1-maomao-dramatic.png,8b49f338-2b37-45b2-9570-fa01f4f0fc08.png,Supplied reference; origin/production use not established,Dramatic Maomao feature; visible Yen123412 marks; authorship unverified,
R2,assets/references/supplied/R2-maomao-floral.png,0fa94683-da7d-4fcf-88b1-e4abb7c5c80c.png,Supplied reference; origin/production use not established,Soft framed Maomao portrait,
R3,assets/references/supplied/R3-purple-winged-cat.png,7f390ab0-0cad-4e39-991d-5a4f983b6517.png,Supplied reference; origin/production use not established,Small accessory and companion reference,
R4,assets/references/supplied/R4-lilac-branches.png,667ab478-f3c6-4584-881d-1a5073043604.png,Supplied reference; origin/production use not established,Initial background candidate,
R5,assets/references/supplied/R5-purple-flowers.png,069cd3ff-2a06-43b0-9919-0670f4488aae.png,Supplied reference; origin/production use not established,Supporting floral environment,
B1,assets/references/supplied/baseline-site.png,f4993796-bb1f-4199-b6bd-d99b3b0142df.png,Supplied reference; origin/production use not established,Supplied existing-site screenshot,
B2,assets/references/supplied/initial-lilac-reference.png,b268f266-aeb9-4ac3-a5da-8d3d95920181.png,Supplied reference; origin/production use not established,Earlier Etsy-preview visual reference,
P1,assets/references/research/miku-pastel-pinterest.jpg,https://www.pinterest.com/pin/988540186928297955/,Pin points toward 9999mme; original-post authorship and permission not verified,Pastel Miku mood reference,https://i.pinimg.com/736x/72/4b/34/724b348e976b13d956bb5fbd79217876.jpg
P2,assets/references/research/snow-miku-2025-reference.jpg,https://snowmiku.com/2025/,Art by tokki; official site restricts image/video reuse; research only,Illustrated Miku composition reference,
P3,assets/references/research/sajalyn-garment-process.jpg,https://sajalyn.com/wickelrock-hanfu-naehen-mein-cosplay-fuer-die-tagebuecher-der-apothekerin/,"SajaLyn; externally authored costume work, not Kiriya; permission not established",Purple garment construction/detail reference,https://sajalyn.com/media/posts/192/Wickelrock-Hanfu-Cosplay-IMG_1105-2.jpg
S1,assets/references/research/strawpage-skyburial.jpg,https://skyburial.straw.page/,Creator-page screenshot; research only,Character scale and purple scrapbook composition,
S2,assets/references/research/strawpage-atissamun.jpg,https://atissamun.straw.page/,Creator-page screenshot; research only,Layering and varied frame/object sizes,
G1,assets/references/research/guns-official-reference.jpg,https://guns.lol/official,Official profile screenshot; research only,Clean identity and atmosphere,
C-miku,assets/references/research/crypton-original-miku.jpg,https://piapro.net/intl/en_for_creators.html,Crypton Future Media original illustration; see illustration-specific CC BY-NC 3.0 conditions and required credit on official page,Recognizable original character art; 600 x 600 reference copy,https://piapro.net/intl/images/popup_miku.jpg
C-rin,assets/references/research/crypton-original-rin.jpg,https://piapro.net/intl/en_for_creators.html,Crypton Future Media original illustration; see illustration-specific CC BY-NC 3.0 conditions and required credit on official page,Recognizable original character art; 600 x 600 reference copy,https://piapro.net/intl/images/popup_rin.jpg
C-len,assets/references/research/crypton-original-len.jpg,https://piapro.net/intl/en_for_creators.html,Crypton Future Media original illustration; see illustration-specific CC BY-NC 3.0 conditions and required credit on official page,Recognizable original character art; 600 x 600 reference copy,https://piapro.net/intl/images/popup_len.jpg
